Date,Stocks,Bonds
2022-09-14,96.19999694824219,84.94000244140625
2022-09-15,95.87999725341797,83.51399993896484
2022-09-16,95.23999786376953,83.09400177001953
2022-09-19,95.16999816894531,83.41799926757812
2022-09-20,94.97000122070312,82.66600036621094
2022-09-21,95.27999877929688,83.33799743652344
2022-09-22,94.77999877929688,82.97000122070312
2022-09-23,94.68000030517578,83.08200073242188
2022-09-26,94.52999877929688,83.22000122070312
2022-09-27,93.83999633789062,82.36399841308594
2022-09-28,93.05000305175781,82.89600372314453
2022-09-29,92.47000122070312,81.48799896240234
2022-09-30,92.68000030517578,82.12000274658203
2022-10-03,92.9800033569336,82.6780014038086
2022-10-04,93.66999816894531,81.947998046875
2022-10-05,93.69999694824219,81.84200286865234
2022-10-06,93.69999694824219,82.09200286865234
